id	relation1	relation2	relation3
H_81-code.2.1.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.1.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.1.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.1.0&mediaType=html
H_81-code.2.2.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.2.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.2.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.2.0&mediaType=html
H_81-code.2.3.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.3.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.3.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.3.0&mediaType=html
H_81-code.2.4.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.4.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.4.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.4.0&mediaType=html
H_81-code.2.5.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.5.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.5.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.5.0&mediaType=html
H_81-code.2.6.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.6.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.6.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.6.0&mediaType=html
H_81-code.2.7.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.7.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.7.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.7.0&mediaType=html
H_81-code.2.7bis.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.7bis.0&mediaType=html		https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.7bis.0&mediaType=html
H_81-code.2.8.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.8.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.8.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.8.0&mediaType=html
H_81-code.2.9.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.9.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.9.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.9.0&mediaType=html
H_81-code.2.10.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.10.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.10.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.10.0&mediaType=html
H_81-code.2.11.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.11.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.11.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.11.0&mediaType=html
H_81-code.2.12.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.12.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.12.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.12.0&mediaType=html
H_81-code.2.13.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.13.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.13.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.13.0&mediaType=html
H_81-code.2.14.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.14.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.14.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.14.0&mediaType=html
H_81-code.2.15.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.15.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.15.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.15.0&mediaType=html
H_81-code.2.16.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.16.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.16.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.16.0&mediaType=html
H_81-code.2.17.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.17.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.17.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.17.0&mediaType=html
H_81-code.2.18.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.18.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.18.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.18.0&mediaType=html
H_81-code.2.19.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.19.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.19.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.19.0&mediaType=html
H_81-code.2.20.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.20.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.20.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.20.0&mediaType=html
H_81-code.2.21.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.21.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.21.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.21.0&mediaType=html
H_81-code.2.22.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.22.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.22.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.22.0&mediaType=html
H_81-code.2.23.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.23.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.23.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.23.0&mediaType=html
H_81-code.2.24.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.24.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.24.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.24.0&mediaType=html
H_81-code.2.25.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.25.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.25.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.25.0&mediaType=html
H_81-code.2.26.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.26.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.26.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.26.0&mediaType=html
H_81-code.2.27.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.27.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.27.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.27.0&mediaType=html
H_81-code.2.28.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.28.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.28.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.28.0&mediaType=html
H_81-code.2.29.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.29.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.29.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.29.0&mediaType=html
H_81-code.2.30.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.30.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.30.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.30.0&mediaType=html
H_81-code.2.31.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.31.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.31.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.31.0&mediaType=html
H_81-code.2.32.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.32.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.32.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.32.0&mediaType=html
H_81-code.2.33.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.33.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.33.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.33.0&mediaType=html
H_81-code.2.34.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.34.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.34.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.34.0&mediaType=html
