id	title	author	date	contributor	description	source	oeuvre_wikidata_url	oeuvre_biblissima_url	oeuvre_bnf_ark	relation1	author_wikidata_url	author_biblissima_url	author_bnf_ark	elec_num
cjc	Corpus Juris Civilis	Frédéric Duval			Corpus juris civilis regroupe des compilations et traductions médiévales françaises en lien avec le droit romain. Cet ensemble d’éditions vise à faciliter l’étude de la réception du droit romain en France à partir du XIIIe siècle. Il comprend des éditions de textes complets, comme Li livres de jostice et de plet, mais aussi des éditions partielles, notamment une série d’éditions du livre 2 du Code et du Digeste d’après toutes les traductions connues, ce qui permet des comparaisons fructueuses.									17bis
cjc_editions	Éditions de compilations et traductions médiévales françaises en lien avec le droit romain	Frédéric Duval			Édition électronique d'un corpus des premiers textes de droit traduits en ancien français									
cjc_notices	Notices détaillées sur les traductions médiévales	Frédéric Duval			Inventaire des traductions médiévales existantes									
cjc_justinien_authentiques	Les Authentiques	Justinien								cjc/document/justinien_authenticum_notice	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	
cjc_justinien_code	Code de Justinien	Justinien	529				https://www.wikidata.org/wiki/Q735763	https://portail.biblissima.fr/fr/ark:/43093/oedata729b352fc86b7d89bf2ed592e44b03ff90409ea4	ark:/12148/cb15916554c	cjc/document/codex_justinianus_notice?refId=françaises	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	
cjc_justinien_codi	Li Codes an romanz	Justinien	529				https://www.wikidata.org/wiki/Q735763	https://portail.biblissima.fr/fr/ark:/43093/oedata729b352fc86b7d89bf2ed592e44b03ff90409ea4	ark:/12148/cb15916554c		https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	
cjc_justinien_digeste	Digeste de Justinien	Justinien	533				https://www.wikidata.org/wiki/Q838526	https://portail.biblissima.fr/ark:/43093/oedata25dbe0754d506f6764cc2bbe1e3d16377a736fda	ark:/12148/cb13736027w	cjc/document/digestum_vetus_notice	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	
cjc_justinien_jostice-plet	Li livres de jostice et de plet	Justinien			Li livres de jostice et de plet est une compilation anonyme du XIIIe siècle organisée en vingt livres rassemblant des dispositions du droit coutumier et des extraits traduits du Corpus juris civilis et des Decretales, le tout organisé suivant le plan du Digeste médiéval.				ark:/12148/bpt6k6257058f		https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	
authenticum_lI										cjc/document/justinien_authenticum_notice				
authenticum_lII										cjc/document/justinien_authenticum_notice				
authenticum_lIII										cjc/document/justinien_authenticum_notice				
justinien_authenticum_notice										cjc/document/authenticum_lI				
giessen_945-code										cjc/document/codex_justinianus_notice?refId=françaises#française_4				
H_81-code										cjc/document/codex_justinianus_notice?refId=françaises#française_2				
fr_20120-code										cjc/document/codex_justinianus_notice?refId=françaises#française_1				
fr_20119-code										cjc/document/codex_justinianus_notice?refId=françaises#française_3				
codi_fr_6										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_4										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_3										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_7										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_2										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_1										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_8										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_5										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codi_fr_9										cjc/document/codex_justinianus_notice?refId=sommes_code#codi				
codex_justinianus_notice										cjc/document/fr_20120-code				
fr_197-digeste										cjc/document/digestum_vetus_notice?refId=françaises#traduction_2				
H_47-digeste										cjc/document/digestum_vetus_notice?refId=françaises#traduction_4				
KBR_9234-digeste										cjc/document/digestum_vetus_notice?refId=françaises#traduction_5				
fr_20118-digeste										cjc/document/digestum_vetus_notice?refId=françaises#traduction_3				
digestum_vetus_notice										cjc/document/fr_197-digeste				
fr_1064-institutes										institutiones_notice				
BNF_22970-treslibri														
