id	subjectOf	about	rich_title
justinien_authenticum_l1_BL_royal-20-D-IX	cjc/document/justinien_authenticum_notice		
justinien_authenticum_l2_BL_royal-20-D-IX	cjc/document/justinien_authenticum_notice		
justinien_authenticum_l3_BL_royal-20-D-IX	cjc/document/justinien_authenticum_notice		
justinien_code_BNF_fr-20119	cjc/document/justinien_codex_notice?refId=françaises#française_3		
justinien_code_BNF_fr-20120	cjc/document/justinien_codex_notice?refId=françaises#française_1		
justinien_code_giessen_945	cjc/document/justinien_codex_notice?refId=françaises#française_4		
justinien_code_montpellier_BIM_H-81	cjc/document/justinien_codex_notice?refId=françaises#française_2		
justinien_codi_l1_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l2_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l3_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l4_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l5_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l6_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l7_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l8_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_codi_l9_BNF_fr-1933	cjc/document/justinien_codex_notice?refId=sommes_code#codi		
justinien_digeste_BNF_fr-197	cjc/document/justinien_digestus-vetus_notice?refId=françaises#traduction_2		
justinien_digeste_BNF_fr-20118	cjc/document/justinien_digestus-vetus_notice?refId=françaises#traduction_3		
justinien_digeste_KBR_9234	cjc/document/justinien_digestus-vetus_notice?refId=françaises#traduction_5		
justinien_digeste_montpellier_BIM_H-47	cjc/document/justinien_digestus-vetus_notice?refId=françaises#traduction_4		
justinien_institutes_BNF_fr-1064	cjc/document/justinien_institutiones_notice		
justinien_tres-libri_BNF_fr-22970			
tancrede-de-bologne_ordo-judiciarius_notice			<i>Ordo judiciarius</i> , Tancrède. Notice descriptive concernant l'ensemble des traductions médiévales en français et en occitan de l'<i>Ordo judiciarius</i> de Tancrède.
justinien_authenticum_notice		cjc/document/justinien_authenticum_l1_BL_royal-20-D-IX	<i>Authenticum</i>, Justinianus I. Notice descriptive concernant l'ensemble des traductions médiévales en français et en occitan de l'<i>Authenticum</i>, Justinianus I
justinien_codex_notice		cjc/document/justinien_code_BNF_fr-20120	<i>Codex</i>, Justinianus I. Notice descriptive concernant l'ensemble des traductions médiévales en français et en occitan du <i>Codex</i>, Justinianus I
justinien_digestus-vetus_notice		cjc/document/justinien_digeste_BNF_fr-197	<i>Digestum vetus</i>, Justinianus I. Notice descriptive des traductions médiévales en français du <i>Digestum vetus</i>
justinien_infortiatum_notice			<i>Infortiatum</i>, Justinianus I. Notice descriptive concernant l'ensemble des traductions médiévales en français et en occitan de l'<i>Infortiatum</i>, Justinianus I
justinien_institutiones_notice			<i>Institutiones</i>, Justinianus I. Notice descriptive concernant l’ensemble des traductions médiévales en français et en occitan des <i>Institutiones</i>, Justinianus I
