id	title
d0	Prologue
d1	Livre I
d1.1	Cist titres est de justice et de droit
d1.2	Cist titres est de droit naturel
d1.3	Cist titres est del droit des persones
d1.4	Cist titres et est de celz qui sunt naturelment franc
d1.5	Cist titres est de cels qui ont esté franchi
d1.6	Cist titres est que nus ne franchise ses sers por grever ses creanciers
d1.7	Cist titres est de franchir sers en testament
d1.8	Ci vient une autre divisions de la droiture as persones
d1.9	Cist tritres est de celz qui sunt en nostre poesté
d1.10	Cist titres est des loiauz mariagez
d1.11	Cist titres est des filz adoptis
d1.12	Cist titres est de maitre hors de baill
d1.13	Cist titres est de cels qui sunt en garde ou en mains de procureor
d1.14	Li quel puent estre desfendeur
d1.15	Cist titres est des desfendeurs qui sunt donné par loi
d1.16	Cist titres est d'amenuisement de chiés
d1.17	Cist titrez est de la garde à celz qui ont esté franchi
d1.18	Cist titrez est de la garde des nevex
d1.19	Cist titres est de garde par fiance
d1.20	Cist titres est qu'il doit doner desfendeurs à celz qui point n'en ont
d1.21	Cist titres est de l'autorité à desfendeurs
d1.22	Cist titres est en quel maniere garde faut
d1.23	Liquel puent avoir procureurs
d1.24	Cist titres est de la caucion que li procureur ou li desfendeur doient doner
d1.25	Cist titres est par quel cause li procureur et li desfendeur sunt escusé
d1.26	Cist titres est des desfendeurs sozpeceneus
d2	Ci conmence li secons livres des Institutes à l'empereur Justinian Cist titres est de la division des chosez
d2.1	
d2.2	Cist titres est des choses qui ne sunt pas corporex
d2.3	Cist titrez est des droitures des possessionz
d2.4	Cist titrez est d'usuaire
d2.5	Cist titres est de nu usaige
d2.6	Cist titres est de celui qui achate par bone foi la chose de celui qui n'en est pas sires
d2.7	Cist titres est de dons
d2.8	Cist titres est que li hom ne vande le doaire sa fame
d2.9	Cist titres est de celz par qui noz aqueronz aucunne chose
d2.10	Cist titres est des testamens
d2.11	Cist titres est des testamenz as chevaliers
d2.12	Cist titres est à quelz personnes il loist à faire testament
d2.13	Cist titres est des deseritemens des enfans
d2.14	Cist titrez est d'establir oirs
d2.15	Cist titres est de faire oirs conmunement aprés celz qui sunt oirs principalment
d2.16	Cist titres est d'establir qui doit estre oirs apréz les orfelinz
d2.17	Cist titres est en quel maniere testament sunt quassé
d2.18	Cist titres est de testament qui n'est pas à droit fais
d2.19	Cist titrez est de la qualité et de la disferance dez oirs
d2.20	Cist titres est des lais
d2.21	Cist titres est de sostraire lais et de remuer lais
d2.22	Cist titrez est de la loi qui retaille lez laiz
d2.23	Cist titres est d'eritagez de coi il est enjoint à l'oir que il les rande à autre
d2.24	Cist titres est de toutes les chosez qui sunt enjointes à l'oir que il les rande
d2.25	Cist titres est des ecris qui sunt fet en leu de testament
d3	Ci commence li tiers livres d'Institutes
d3.1	Cist titres est des heritages qui eschient sans testament
d3.2	Cist titres est des parans au mort de par son pere
d3.3	Cist titres est del conseil au senat qui est apeléz tertulianz
d3.4	Cist titres est del conseil au senat qui est apelés orficianz
d3.5	Cist titres et conmant heritages vient as paranz de par la mere
d3.6	Cist titres est des degrés de linnage
d3.7	Cist titres est de l'eritage a celz qui sunt franchi
d3.8	Cist titres est de l'ansignement de celz qui ont esté franchi
d3.9	Cist titrez est de la droiture des bienz
d3.10	Cist titres est del conquest qui est fais par adoption
d3.11	Cist titrez est de celui à qui li bien sunt baillié por garder les franchisez
d3.12	Cist titres est d'oster la maniere d'avoir heritage qui estoit faite por rendre les biens par le conseil au senat qui est apeléz claudian
d3.13	Cist titres est des obligemens
d3.14	Cist titres est des obligemenz qui sunt fait par chose
d3.15	Cist titres est d'obligement qui sunt fet par parole
d3.16	Cist titres est de ii à qui une chose est covenancie
d3.17	Cist titres est des convenances as sers
d3.18	Cist titres est de la divicion des convenancez
d3.19	Cist titres est des convenancez qui rienz ne valent
d3.20	Cist titres est des pleges
d3.21	Cist titres est d'obligement qui est fait par laitres
d3.22	Cist titres est d'obligement qui est faiz par consentement
d3.23	Cist titres est d'achat et de vente
d3.24	Cist titres est des louages
d3.25	Cist titres est de conpaignie
d3.26	Cist titres est de mandemant
d3.27	Cist titres est d'obligement qui est autresi conme de marchié
d3.28	Cist titrez est par quels personez obligemenz noz est aquis
d3.29	Cist titres est coment obligemens faut
d4	Ci commence li quars livres d'Institutez
d4.1	Cist titres est des obligemens qui naissent de mesfet
d4.2	Cist titres est des biens ravis par force
d4.3	Cist titres est de la loi qui fait restorer les damages
d4.4	Cist titres est de tort fait
d4.5	Cist tistres est d'obligement qui naissent conme de damaige
d4.6	Cist titres est d'actions
d4.7	Cist titres est de ce qui est fait o celui qui est en autrui poesté
d4.8	Cist titres est des actions d'abandoner serf à sosfrir painne
d4.9	Cist titres est se beste a fait damage
d4.10	Cist titres est de persones par coi nos ne poons plaidier
d4.11	Cist titres est de caucionz
d4.12	Cist titres est des actions pardurables et des temporeus
d4.13	Cist titres est des exceptionz
d4.14	Cist titres est de replicationz
d4.15	Cist titres est des antredis
d4.16	Cist titres est de la paingne à celz qui plaident à tort
d4.17	Cist titres est de l'ofice au juge
d4.18	Cist titrez est des conmuns jugemenz
